PFAM	GO_term	GO	PFAM_description
PF08769	regulation of DNA-templated transcription	GO:0006355	Spo0A_C
PF08769	regulation of sporulation resulting in formation of a cellular spore	GO:0042173	Spo0A_C
PF08769	cytoplasm	GO:0005737	Spo0A_C
PF08771	protein-containing complex binding	GO:0044877	FRB_dom
PF08774	hydrolase activity, acting on ester bonds	GO:0016788	VRR_NUC
PF08777	RNA binding	GO:0003723	RRM_3
PF08782	SMAD binding	GO:0046332	c-SKI_SMAD_bind
PF08783	zinc ion binding	GO:0008270	DWNN
PF08797	nucleic acid binding	GO:0003676	HIRAN
PF08797	zinc ion binding	GO:0008270	HIRAN
PF08797	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	GO:0016818	HIRAN
PF08804	single-stranded DNA binding	GO:0003697	gp32
PF08815	transcription coactivator activity	GO:0003713	Nuc_rec_co-act
PF08815	nuclear receptor binding	GO:0016922	Nuc_rec_co-act
PF08815	regulation of DNA-templated transcription	GO:0006355	Nuc_rec_co-act
PF08815	nucleus	GO:0005634	Nuc_rec_co-act
PF08825	NEDD8 activating enzyme activity	GO:0019781	E2_bind
PF08825	protein neddylation	GO:0045116	E2_bind
PF08826	protein serine/threonine kinase activity	GO:0004674	DMPK_coil
PF08826	ATP binding	GO:0005524	DMPK_coil
PF08826	protein phosphorylation	GO:0006468	DMPK_coil
PF08831	MHC class II protein binding	GO:0042289	MHCassoc_trimer
PF08831	antigen processing and presentation	GO:0019882	MHCassoc_trimer
PF08831	membrane	GO:0016020	MHCassoc_trimer
PF08845	RNA binding	GO:0003723	SymE_toxin
PF08845	hydrolase activity, acting on ester bonds	GO:0016788	SymE_toxin
PF08845	RNA metabolic process	GO:0016070	SymE_toxin
PF08845	cytoplasm	GO:0005737	SymE_toxin
PF08880	ATP binding	GO:0005524	QLQ
PF08880	regulation of DNA-templated transcription	GO:0006355	QLQ
PF08880	nucleus	GO:0005634	QLQ
PF08911	nuclear pore	GO:0005643	NUP50
PF08912	small GTPase binding	GO:0031267	Rho_Binding
PF08915	threonine-tRNA ligase activity	GO:0004829	tRNA-Thr_ED
PF08915	ATP binding	GO:0005524	tRNA-Thr_ED
PF08915	zinc ion binding	GO:0008270	tRNA-Thr_ED
PF08915	cytoplasm	GO:0005737	tRNA-Thr_ED
PF08917	transforming growth factor beta receptor activity, type II	GO:0005026	ecTbetaR2
PF08917	ATP binding	GO:0005524	ecTbetaR2
PF08917	metal ion binding	GO:0046872	ecTbetaR2
PF08917	protein phosphorylation	GO:0006468	ecTbetaR2
PF08917	membrane	GO:0016020	ecTbetaR2
PF08918	protein histidine kinase activity	GO:0004673	PhoQ_Sensor
PF08918	ATP binding	GO:0005524	PhoQ_Sensor
PF08918	metal ion binding	GO:0046872	PhoQ_Sensor
PF08918	phosphorelay signal transduction system	GO:0000160	PhoQ_Sensor
PF08918	peptidyl-histidine phosphorylation	GO:0018106	PhoQ_Sensor
PF08918	membrane	GO:0016020	PhoQ_Sensor
PF08919	non-membrane spanning protein tyrosine kinase activity	GO:0004715	F_actin_bind
PF08919	ATP binding	GO:0005524	F_actin_bind
PF08919	protein phosphorylation	GO:0006468	F_actin_bind
PF08923	regulation of TOR signaling	GO:0032006	MAPKK1_Int
PF08925	nucleus	GO:0005634	DUF1907
PF08926	magnesium ion binding	GO:0000287	DUF1908
PF08926	protein serine/threonine kinase activity	GO:0004674	DUF1908
PF08926	ATP binding	GO:0005524	DUF1908
PF08926	protein phosphorylation	GO:0006468	DUF1908
PF08935	icosahedral viral capsid	GO:0019030	VP4_2
PF08941	ubiquitin protein ligase activity	GO:0061630	USP8_interact
PF08941	protein ubiquitination	GO:0016567	USP8_interact
PF08943	iron ion binding	GO:0005506	CsiD
PF08943	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated	GO:0050498	CsiD
PF08951	bacteriocin immunity	GO:0030153	EntA_Immun
PF08961	autophagy	GO:0006914	NRBF2
PF08964	cell-cell adhesion	GO:0098609	Crystall_3
PF08964	membrane	GO:0016020	Crystall_3
PF08990	transferase activity	GO:0016740	Docking
PF08992	oxidoreductase activity, acting on the CH-NH2 group of donors	GO:0016638	QH-AmDH_gamma
PF08996	DNA-directed DNA polymerase activity	GO:0003887	zf-DNA_Pol
PF08996	DNA replication	GO:0006260	zf-DNA_Pol
PF08997	mitochondrial electron transport, ubiquinol to cytochrome c	GO:0006122	UCR_6-4kD
PF08997	mitochondrial respiratory chain complex III	GO:0005750	UCR_6-4kD
PF08998	toxic substance binding	GO:0015643	Epsilon_antitox
PF08998	response to toxic substance	GO:0009636	Epsilon_antitox
PF08998	negative regulation of cell killing	GO:0031342	Epsilon_antitox
PF09000	RNA binding	GO:0003723	Cytotoxic
PF09000	hydrolase activity, acting on ester bonds	GO:0016788	Cytotoxic
PF09000	ribosome binding	GO:0043022	Cytotoxic
PF09003	DNA binding	GO:0003677	Arm-DNA-bind_1
PF09003	integrase activity	GO:0008907	Arm-DNA-bind_1
PF09003	DNA integration	GO:0015074	Arm-DNA-bind_1
PF09004	methyltransferase activity	GO:0008168	ALKBH8_N
PF09004	2-oxoglutarate-dependent dioxygenase activity	GO:0016706	ALKBH8_N
PF09005	nucleic acid binding	GO:0003676	DUF1897
PF09005	regulation of DNA-templated transcription	GO:0006355	DUF1897
PF09009	NAD+-diphthamide ADP-ribosyltransferase activity	GO:0047286	Exotox-A_cataly
PF09010	regulation of DNA-templated transcription	GO:0006355	AsiA
PF09013	protein tyrosine phosphatase activity	GO:0004725	YopH_N
PF09013	protein dephosphorylation	GO:0006470	YopH_N
PF09015	type II site-specific deoxyribonuclease activity	GO:0009036	NgoMIV_restric
PF09015	DNA restriction-modification system	GO:0009307	NgoMIV_restric
PF09017	protein-glutamine gamma-glutamyltransferase activity	GO:0003810	Transglut_prok
PF09019	DNA binding	GO:0003677	EcoRII-C
PF09019	type II site-specific deoxyribonuclease activity	GO:0009036	EcoRII-C
PF09019	DNA restriction-modification system	GO:0009307	EcoRII-C
PF09020	negative regulation of phagocytosis	GO:0050765	YopE_N
PF09025	protein secretion by the type III secretion system	GO:0030254	T3SS_needle_reg
PF09025	type III protein secretion system complex	GO:0030257	T3SS_needle_reg
PF09026	DNA binding	GO:0003677	CENP-B_dimeris
PF09026	chromatin binding	GO:0003682	CENP-B_dimeris
PF09026	chromosome, centromeric region	GO:0000775	CENP-B_dimeris
PF09028	peptidase activity	GO:0008233	Mac-1
PF09029	5-aminolevulinate synthase activity	GO:0003870	Preseq_ALAS
PF09029	pyridoxal phosphate binding	GO:0030170	Preseq_ALAS
PF09029	porphyrin-containing compound metabolic process	GO:0006778	Preseq_ALAS
PF09029	mitochondrial matrix	GO:0005759	Preseq_ALAS
PF09030	transcription coactivator activity	GO:0003713	Creb_binding
PF09030	histone acetyltransferase activity	GO:0004402	Creb_binding
PF09030	regulation of DNA-templated transcription	GO:0006355	Creb_binding
PF09030	histone acetyltransferase complex	GO:0000123	Creb_binding
PF09030	nucleus	GO:0005634	Creb_binding
PF09034	protein binding	GO:0005515	TRADD_N
PF09034	positive regulation of canonical NF-kappaB signal transduction	GO:0043123	TRADD_N
PF09036	protein serine/threonine kinase activity	GO:0004674	Bcr-Abl_Oligo
PF09036	GTPase activator activity	GO:0005096	Bcr-Abl_Oligo
PF09036	protein phosphorylation	GO:0006468	Bcr-Abl_Oligo
PF09036	signal transduction	GO:0007165	Bcr-Abl_Oligo
PF09040	magnesium ion binding	GO:0000287	H-K_ATPase_N
PF09040	ATP binding	GO:0005524	H-K_ATPase_N
PF09040	P-type potassium:proton transporter activity	GO:0008900	H-K_ATPase_N
PF09040	proton transmembrane transport	GO:1902600	H-K_ATPase_N
PF09040	membrane	GO:0016020	H-K_ATPase_N
PF09044	extracellular region	GO:0005576	Kp4
PF09048	DNA binding	GO:0003677	Cro
PF09048	regulation of DNA-templated transcription	GO:0006355	Cro
PF09055	superoxide dismutase activity	GO:0004784	Sod_Ni
PF09055	nickel cation binding	GO:0016151	Sod_Ni
PF09055	antioxidant activity	GO:0016209	Sod_Ni
PF09057	apoptotic process	GO:0006915	Smac_DIABLO
PF09057	activation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0006919	Smac_DIABLO
PF09057	mitochondrion	GO:0005739	Smac_DIABLO
PF09061	hydrolase activity, acting on ester bonds	GO:0016788	Stirrup
PF09064	transmembrane signaling receptor activity	GO:0004888	Tme5_EGF_like
PF09064	membrane	GO:0016020	Tme5_EGF_like
PF09066	intracellular protein transport	GO:0006886	B2-adapt-app_C
PF09066	vesicle-mediated transport	GO:0016192	B2-adapt-app_C
PF09066	clathrin adaptor complex	GO:0030131	B2-adapt-app_C
PF09074	reciprocal meiotic recombination	GO:0007131	Mer2
PF09074	condensed nuclear chromosome	GO:0000794	Mer2
PF09077	DNA binding	GO:0003677	Phage-MuB_C
PF09077	DNA transposition	GO:0006313	Phage-MuB_C
PF09085	cell adhesion	GO:0007155	Adhes-Ig_like
PF09085	membrane	GO:0016020	Adhes-Ig_like
PF09088	RNA metabolic process	GO:0016070	MIF4G_like
PF09089	virus tail, fiber	GO:0098024	gp12-short_mid
PF09090	RNA metabolic process	GO:0016070	MIF4G_like_2
PF09095	catalytic activity	GO:0003824	AmyA-gluTrfs_C
PF09095	carbohydrate binding	GO:0030246	AmyA-gluTrfs_C
PF09095	carbohydrate metabolic process	GO:0005975	AmyA-gluTrfs_C
PF09096	virus tail, baseplate	GO:0098025	Phage-tail_2
PF09103	double-strand break repair via homologous recombination	GO:0000724	BRCA-2_OB1
PF09106	RNA binding	GO:0003723	SelB-wing_2
PF09106	translation elongation factor activity	GO:0003746	SelB-wing_2
PF09106	GTP binding	GO:0005525	SelB-wing_2
PF09106	selenocysteine incorporation	GO:0001514	SelB-wing_2
PF09106	cytoplasm	GO:0005737	SelB-wing_2
PF09107	RNA binding	GO:0003723	SelB-wing_3
PF09107	translation elongation factor activity	GO:0003746	SelB-wing_3
PF09107	GTP binding	GO:0005525	SelB-wing_3
PF09107	selenocysteine incorporation	GO:0001514	SelB-wing_3
PF09107	cytoplasm	GO:0005737	SelB-wing_3
PF09110	DNA binding	GO:0003677	HAND
PF09110	nucleosome binding	GO:0031491	HAND
PF09110	chromatin remodeling	GO:0006338	HAND
PF09111	DNA binding	GO:0003677	SLIDE
PF09111	chromatin remodeling	GO:0006338	SLIDE
PF09111	nucleus	GO:0005634	SLIDE
PF09115	DNA binding	GO:0003677	DNApol3-delta_C
PF09115	DNA-directed DNA polymerase activity	GO:0003887	DNApol3-delta_C
PF09115	DNA replication	GO:0006260	DNApol3-delta_C
PF09115	DNA polymerase III complex	GO:0009360	DNApol3-delta_C
PF09116	viral DNA genome replication	GO:0039693	gp45-slide_C
PF09117	defense response	GO:0006952	MiAMP1
PF09117	negative regulation of growth	GO:0045926	MiAMP1
PF09119	extracellular space	GO:0005615	SicP-binding
PF09126	type II site-specific deoxyribonuclease activity	GO:0009036	NaeI
PF09126	DNA restriction-modification system	GO:0009307	NaeI
PF09127	metallopeptidase activity	GO:0008237	Leuk-A4-hydro_C
PF09127	zinc ion binding	GO:0008270	Leuk-A4-hydro_C
PF09128	guanyl-nucleotide exchange factor activity	GO:0005085	RGS-like
PF09128	cytoplasm	GO:0005737	RGS-like
PF09138	tRNA thio-modification	GO:0034227	Urm1
PF09138	cytoplasm	GO:0005737	Urm1
PF09139	phosphatidate cytidylyltransferase activity	GO:0004605	Tam41_Mmp37
PF09139	cardiolipin biosynthetic process	GO:0032049	Tam41_Mmp37
PF09141	structural constituent of cytoskeleton	GO:0005200	Talin_middle
PF09141	ruffle	GO:0001726	Talin_middle
PF09141	focal adhesion	GO:0005925	Talin_middle
PF09142	RNA binding	GO:0003723	TruB_C
PF09142	pseudouridine synthase activity	GO:0009982	TruB_C
PF09142	pseudouridine synthesis	GO:0001522	TruB_C
PF09142	RNA modification	GO:0009451	TruB_C
PF09150	chloride ion binding	GO:0031404	Carot_N
PF09150	light absorption	GO:0016037	Carot_N
PF09150	phycobilisome	GO:0030089	Carot_N
PF09153	cytoplasm	GO:0005737	MGMT_N
PF09154	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Alpha-amy_C_pro
PF09157	RNA binding	GO:0003723	TruB-C_2
PF09157	pseudouridine synthase activity	GO:0009982	TruB-C_2
PF09157	pseudouridine synthesis	GO:0001522	TruB-C_2
PF09157	RNA modification	GO:0009451	TruB-C_2
PF09162	RNA binding	GO:0003723	Tap-RNA_bind
PF09162	mRNA export from nucleus	GO:0006406	Tap-RNA_bind
PF09162	cytoplasm	GO:0005737	Tap-RNA_bind
PF09165	ubiquinol-cytochrome-c reductase activity	GO:0008121	Ubiq-Cytc-red_N
PF09166	biliverdin reductase (NAD(P)H) activity	GO:0004074	Biliv-reduc_cat
PF09166	zinc ion binding	GO:0008270	Biliv-reduc_cat
PF09166	heme catabolic process	GO:0042167	Biliv-reduc_cat
PF09167	extracellular space	GO:0005615	DUF1942
PF09168	dipeptidyl-peptidase activity	GO:0008239	PepX_N
PF09168	proteolysis	GO:0006508	PepX_N
PF09171	DNA-(apurinic or apyrimidinic site) endonuclease activity	GO:0003906	AGOG
PF09171	hydrolase activity, hydrolyzing N-glycosyl compounds	GO:0016799	AGOG
PF09172	lipid transporter activity	GO:0005319	Vit_open_b-sht
PF09172	lipid transport	GO:0006869	Vit_open_b-sht
PF09174	negative regulation of transcription by RNA polymerase III	GO:0016480	Maf1
PF09175	lipid transporter activity	GO:0005319	Vit_b-sht_shell
PF09175	lipid transport	GO:0006869	Vit_b-sht_shell
PF09177	Golgi vesicle transport	GO:0048193	Syntaxin-6_N
PF09177	membrane	GO:0016020	Syntaxin-6_N
PF09179	nucleotide binding	GO:0000166	TilS
PF09179	ATP binding	GO:0005524	TilS
PF09179	ligase activity, forming carbon-nitrogen bonds	GO:0016879	TilS
PF09179	tRNA processing	GO:0008033	TilS
PF09179	cytoplasm	GO:0005737	TilS
PF09180	nucleotide binding	GO:0000166	ProRS-C_1
PF09180	proline-tRNA ligase activity	GO:0004827	ProRS-C_1
PF09180	ATP binding	GO:0005524	ProRS-C_1
PF09180	prolyl-tRNA aminoacylation	GO:0006433	ProRS-C_1
PF09180	cytoplasm	GO:0005737	ProRS-C_1
PF09181	nucleotide binding	GO:0000166	ProRS-C_2
PF09181	proline-tRNA ligase activity	GO:0004827	ProRS-C_2
PF09181	ATP binding	GO:0005524	ProRS-C_2
PF09181	prolyl-tRNA aminoacylation	GO:0006433	ProRS-C_2
PF09181	cytoplasm	GO:0005737	ProRS-C_2
PF09182	DNA binding	GO:0003677	PuR_N
PF09182	regulation of DNA-templated transcription	GO:0006355	PuR_N
PF09184	protein phosphatase regulator activity	GO:0019888	PPP4R2
PF09184	protein phosphatase 4 complex	GO:0030289	PPP4R2
PF09187	gene silencing by siRNA-directed DNA methylation	GO:0080188	RdDM_RDM1
PF09187	nucleus	GO:0005634	RdDM_RDM1
PF09190	nucleotide binding	GO:0000166	DALR_2
PF09190	cysteine-tRNA ligase activity	GO:0004817	DALR_2
PF09190	ATP binding	GO:0005524	DALR_2
PF09190	cysteinyl-tRNA aminoacylation	GO:0006423	DALR_2
PF09190	cytoplasm	GO:0005737	DALR_2
PF09194	DNA binding	GO:0003677	Endonuc-BsobI
PF09194	type II site-specific deoxyribonuclease activity	GO:0009036	Endonuc-BsobI
PF09194	DNA restriction-modification system	GO:0009307	Endonuc-BsobI
PF09195	type II site-specific deoxyribonuclease activity	GO:0009036	Endonuc-BglII
PF09195	DNA restriction-modification system	GO:0009307	Endonuc-BglII
PF09197	DNA binding	GO:0003677	Rap1-DNA-bind
PF09198	DNA beta-glucosyltransferase activity	GO:0033821	T4-Gluco-transf
PF09198	symbiont-mediated evasion of host restriction-modification system	GO:0099018	T4-Gluco-transf
PF09201	protein binding	GO:0005515	SRX
PF09202	protein serine/threonine kinase activity	GO:0004674	Rio2_N
PF09202	ATP binding	GO:0005524	Rio2_N
PF09202	protein phosphorylation	GO:0006468	Rio2_N
PF09204	toxic substance binding	GO:0015643	Colicin_immun
PF09204	bacteriocin immunity	GO:0030153	Colicin_immun
PF09206	alpha-L-arabinofuranosidase activity	GO:0046556	ArabFuran-catal
PF09206	arabinan metabolic process	GO:0031221	ArabFuran-catal
PF09207	cell death	GO:0008219	Yeast-kill-tox
PF09207	extracellular region	GO:0005576	Yeast-kill-tox
PF09208	DNA binding	GO:0003677	Endonuc-MspI
PF09208	type II site-specific deoxyribonuclease activity	GO:0009036	Endonuc-MspI
PF09208	DNA restriction-modification system	GO:0009307	Endonuc-MspI
PF09213	chemokine binding	GO:0019956	M3
PF09222	adhesion of symbiont to host	GO:0044406	Fim-adh_lectin
PF09222	pilus	GO:0009289	Fim-adh_lectin
PF09223	zinc ion binding	GO:0008270	ZinT
PF09226	DNA binding	GO:0003677	Endonuc-HincII
PF09226	type II site-specific deoxyribonuclease activity	GO:0009036	Endonuc-HincII
PF09226	DNA restriction-modification system	GO:0009307	Endonuc-HincII
PF09228	negative regulation of DNA-templated transcription	GO:0045892	Prok-TraM
PF09229	ATPase activator activity	GO:0001671	Aha1_N
PF09229	protein-folding chaperone binding	GO:0051087	Aha1_N
PF09230	hydrolase activity	GO:0016787	DFF40
PF09230	apoptotic DNA fragmentation	GO:0006309	DFF40
PF09230	nucleus	GO:0005634	DFF40
PF09230	cytoplasm	GO:0005737	DFF40
PF09231	structural molecule activity	GO:0005198	RDV-p3
PF09236	hemoglobin binding	GO:0030492	AHSP
PF09236	protein folding	GO:0006457	AHSP
PF09236	erythrocyte differentiation	GO:0030218	AHSP
PF09236	protein stabilization	GO:0050821	AHSP
PF09238	cytokine receptor activity	GO:0004896	IL4Ra_N
PF09238	production of molecular mediator involved in inflammatory response	GO:0002532	IL4Ra_N
PF09238	membrane	GO:0016020	IL4Ra_N
PF09239	DNA binding	GO:0003677	Topo-VIb_trans
PF09239	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	GO:0003918	Topo-VIb_trans
PF09239	DNA topological change	GO:0006265	Topo-VIb_trans
PF09242	oxidoreductase activity	GO:0016491	FCSD-flav_bind
PF09242	flavin adenine dinucleotide binding	GO:0050660	FCSD-flav_bind
PF09243	methyltransferase activity	GO:0008168	Rsm22
PF09243	translation	GO:0006412	Rsm22
PF09246	RNA binding	GO:0003723	PHAT
PF09246	regulation of DNA-templated transcription	GO:0006355	PHAT
PF09249	CCA tRNA nucleotidyltransferase activity	GO:0004810	tRNA_NucTransf2
PF09252	extracellular space	GO:0005615	Feld-I_B
PF09254	type II site-specific deoxyribonuclease activity	GO:0009036	FokI_cleav_dom
PF09254	DNA restriction-modification system	GO:0009307	FokI_cleav_dom
PF09258	glycosyltransferase activity	GO:0016757	Glyco_transf_64
PF09258	membrane	GO:0016020	Glyco_transf_64
PF09259	carbohydrate binding	GO:0030246	Fve
PF09259	regulation of immune system process	GO:0002682	Fve
PF09260	alpha-amylase activity	GO:0004556	A_amylase_dom_C
PF09260	calcium ion binding	GO:0005509	A_amylase_dom_C
PF09260	carbohydrate catabolic process	GO:0016052	A_amylase_dom_C
PF09261	alpha-mannosidase activity	GO:0004559	Alpha-mann_mid
PF09261	mannose metabolic process	GO:0006013	Alpha-mann_mid
PF09262	ATP binding	GO:0005524	PEX-1N
PF09262	peroxisome organization	GO:0007031	PEX-1N
PF09262	peroxisome	GO:0005777	PEX-1N
PF09264	sialic acid binding	GO:0033691	Sial-lect-inser
PF09265	cytokinin dehydrogenase activity	GO:0019139	Cytokin-bind
PF09265	flavin adenine dinucleotide binding	GO:0050660	Cytokin-bind
PF09265	cytokinin metabolic process	GO:0009690	Cytokin-bind
PF09266	DNA binding	GO:0003677	VirDNA-topo-I_N
PF09266	DNA topoisomerase activity	GO:0003916	VirDNA-topo-I_N
PF09266	DNA topological change	GO:0006265	VirDNA-topo-I_N
PF09268	structural molecule activity	GO:0005198	Clathrin-link
PF09268	intracellular protein transport	GO:0006886	Clathrin-link
PF09268	vesicle-mediated transport	GO:0016192	Clathrin-link
PF09268	clathrin coat of trans-Golgi network vesicle	GO:0030130	Clathrin-link
PF09268	clathrin coat of coated pit	GO:0030132	Clathrin-link
PF09269	nucleotide binding	GO:0000166	DUF1967
PF09270	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978	BTD
PF09270	regulation of transcription by RNA polymerase II	GO:0006357	BTD
PF09271	DNA binding	GO:0003677	LAG1-DNAbind
PF09271	DNA-binding transcription factor activity	GO:0003700	LAG1-DNAbind
PF09271	regulation of DNA-templated transcription	GO:0006355	LAG1-DNAbind
PF09271	nucleus	GO:0005634	LAG1-DNAbind
PF09272	serine-type endopeptidase activity	GO:0004252	Hepsin-SRCR
PF09272	serine-type exopeptidase activity	GO:0070008	Hepsin-SRCR
PF09280	damaged DNA binding	GO:0003684	XPC-binding
PF09280	nucleotide-excision repair	GO:0006289	XPC-binding
PF09280	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	XPC-binding
PF09281	nucleoside binding	GO:0001882	Taq-exonuc
PF09281	DNA-directed DNA polymerase activity	GO:0003887	Taq-exonuc
PF09281	DNA replication	GO:0006260	Taq-exonuc
PF09281	DNA repair	GO:0006281	Taq-exonuc
PF09284	carbon-oxygen lyase activity, acting on polysaccharides	GO:0016837	RhgB_N
PF09284	carbohydrate binding	GO:0030246	RhgB_N
PF09284	carbohydrate metabolic process	GO:0005975	RhgB_N
PF09285	peptide biosynthetic process	GO:0043043	Elong-fact-P_C
PF09285	cytoplasm	GO:0005737	Elong-fact-P_C
PF09286	serine-type peptidase activity	GO:0008236	Pro-kuma_activ
PF09289	protein binding	GO:0005515	FOLN
PF09290	acetaldehyde dehydrogenase (acetylating) activity	GO:0008774	AcetDehyd-dimer
PF09290	aromatic compound catabolic process	GO:0019439	AcetDehyd-dimer
PF09296	hydrolase activity	GO:0016787	NUDIX-like
PF09297	hydrolase activity	GO:0016787	zf-NADH-PPase
PF09297	metal ion binding	GO:0046872	zf-NADH-PPase
PF09298	fumarylacetoacetase activity	GO:0004334	FAA_hydrolase_N
PF09298	aromatic amino acid metabolic process	GO:0009072	FAA_hydrolase_N
PF09300	viral capsid	GO:0019028	Tecti-min-caps
PF09302	double-strand break repair	GO:0006302	XLF
PF09302	nucleus	GO:0005634	XLF
PF09307	MHC class II protein binding	GO:0042289	MHC2-interact
PF09307	intracellular protein transport	GO:0006886	MHC2-interact
PF09307	immune response	GO:0006955	MHC2-interact
PF09307	antigen processing and presentation	GO:0019882	MHC2-interact
PF09307	membrane	GO:0016020	MHC2-interact
PF09308	protein histidine kinase activity	GO:0004673	LuxQ-periplasm
PF09308	phosphatase activity	GO:0016791	LuxQ-periplasm
PF09317	acyl-CoA dehydrogenase activity	GO:0003995	ACDH_C
PF09317	fatty acid beta-oxidation using acyl-CoA dehydrogenase	GO:0033539	ACDH_C
PF09326	oxidoreductase activity, acting on NAD(P)H	GO:0016651	NADH_dhqG_C
PF09326	iron-sulfur cluster binding	GO:0051536	NADH_dhqG_C
PF09328	glutathione gamma-glutamylcysteinyltransferase activity	GO:0016756	Phytochelatin_C
PF09328	metal ion binding	GO:0046872	Phytochelatin_C
PF09328	response to metal ion	GO:0010038	Phytochelatin_C
PF09328	phytochelatin biosynthetic process	GO:0046938	Phytochelatin_C
PF09329	DNA replication	GO:0006260	zf-primase
PF09329	nucleus	GO:0005634	zf-primase
PF09330	flavin adenine dinucleotide binding	GO:0050660	Lact-deh-memb
PF09330	transmembrane transport	GO:0055085	Lact-deh-memb
PF09334	nucleotide binding	GO:0000166	tRNA-synt_1g
PF09334	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_1g
PF09334	ATP binding	GO:0005524	tRNA-synt_1g
PF09334	tRNA aminoacylation for protein translation	GO:0006418	tRNA-synt_1g
PF09338	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	GO:0050485	Gly_reductase
PF09339	DNA binding	GO:0003677	HTH_IclR
PF09339	regulation of DNA-templated transcription	GO:0006355	HTH_IclR
PF09340	histone acetyltransferase complex	GO:0000123	NuA4
PF09360	2 iron, 2 sulfur cluster binding	GO:0051537	zf-CDGSH
PF09360	intracellular membrane-bounded organelle	GO:0043231	zf-CDGSH
PF09363	aldehyde-lyase activity	GO:0016832	XFP_C
PF09363	carbohydrate metabolic process	GO:0005975	XFP_C
PF09367	protein-phycocyanobilin linkage	GO:0017009	CpeS
PF09377	ribosome biogenesis	GO:0042254	SBDS_domain_II
PF09382	3'-5' DNA helicase activity	GO:0043138	RQC
PF09382	DNA replication	GO:0006260	RQC
PF09382	DNA repair	GO:0006281	RQC
PF09384	rRNA processing	GO:0006364	UTP15_C
PF09384	nucleolus	GO:0005730	UTP15_C
PF09388	regulation of sporulation	GO:0043937	SpoOE-like
PF09392	protein transport	GO:0015031	T3SS_needle_F
PF09396	serine-type endopeptidase activity	GO:0004252	Thrombin_light
PF09396	proteolysis	GO:0006508	Thrombin_light
PF09396	blood coagulation	GO:0007596	Thrombin_light
PF09396	extracellular region	GO:0005576	Thrombin_light
PF09398	microtubule anchoring	GO:0034453	FOP_dimer
PF09398	microtubule organizing center	GO:0005815	FOP_dimer
PF09401	RNA binding	GO:0003723	CoV_NSP10
PF09401	zinc ion binding	GO:0008270	CoV_NSP10
PF09401	viral genome replication	GO:0019079	CoV_NSP10
PF09405	mRNA binding	GO:0003729	Btz
PF09405	mRNA processing	GO:0006397	Btz
PF09405	exon-exon junction complex	GO:0035145	Btz
PF09412	RNA endonuclease activity	GO:0004521	XendoU
PF09415	DNA repair	GO:0006281	CENP-X
PF09415	kinetochore assembly	GO:0051382	CENP-X
PF09416	RNA binding	GO:0003723	UPF1_Zn_bind
PF09416	RNA helicase activity	GO:0003724	UPF1_Zn_bind
PF09416	ATP binding	GO:0005524	UPF1_Zn_bind
PF09416	zinc ion binding	GO:0008270	UPF1_Zn_bind
PF09416	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184	UPF1_Zn_bind
PF09416	cytoplasm	GO:0005737	UPF1_Zn_bind
PF09419	phosphatidylglycerophosphatase activity	GO:0008962	PGP_phosphatase
PF09421	regulation of DNA-templated transcription	GO:0006355	FRQ
PF09421	circadian rhythm	GO:0007623	FRQ
PF09421	nucleus	GO:0005634	FRQ
PF09421	cytoplasm	GO:0005737	FRQ
PF09427	SREBP signaling pathway	GO:0032933	DUF2014
PF09427	positive regulation of transcription by RNA polymerase II	GO:0045944	DUF2014
PF09429	RNA processing	GO:0006396	Wbp11
PF09432	transcription elongation by RNA polymerase II	GO:0006368	THP2
PF09432	mRNA export from nucleus	GO:0006406	THP2
PF09432	nucleoplasmic THO complex	GO:0000446	THP2
PF09445	methyltransferase activity	GO:0008168	Methyltransf_15
PF09445	RNA methylation	GO:0001510	Methyltransf_15
PF09445	7-methylguanosine cap hypermethylation	GO:0036261	Methyltransf_15
PF09446	vacuolar proton-transporting V-type ATPase complex assembly	GO:0070072	VMA21
PF09447	kinetochore	GO:0000776	Cnl2_NKP2
PF09452	ubiquitin binding	GO:0043130	Mvb12
PF09452	endosome transport via multivesicular body sorting pathway	GO:0032509	Mvb12
PF09452	ESCRT I complex	GO:0000813	Mvb12
PF09456	protein histidine kinase activity	GO:0004673	RcsC
PF09456	ATP binding	GO:0005524	RcsC
PF09456	phosphorelay signal transduction system	GO:0000160	RcsC
PF09456	regulation of DNA-templated transcription	GO:0006355	RcsC
PF09456	peptidyl-histidine phosphorylation	GO:0018106	RcsC
PF09456	plasma membrane	GO:0005886	RcsC
PF09456	membrane	GO:0016020	RcsC
PF09458	carbohydrate binding	GO:0030246	H_lectin
PF09458	cell adhesion	GO:0007155	H_lectin
PF09459	heme binding	GO:0020037	EB_dh
